obs; time; Delta; Theta; Alpha1; Alpha2; Beta1; Beta2; Gamma1; Gamma2; Attention; Meditation; Derived; totPwr; class 
97; 107.0;1517924;287203;208089;52609;25312;31582;10662;8125;57;80; NA;2141506;  1*
98; 107.9;1290105;838750;202464;224040;133959;132345;33113;22536;56;74; NA;2877312;  1*
99; 108.9;190212;91924;13888;8981;717;7520;1175;773;51;50; NA;315190;  1*
100; 110.0;843234;79276;71252;14431;60864;20486;4453;7993;56;56; NA;1101989;  1*
101; 110.9;1137312;91543;16982;41939;27406;15214;6986;3025;60;48; NA;1340407;  1*
102; 112.0;336199;198219;969;57151;40410;11869;5628;4244;51;40; NA;654689;  1*
103; 112.9;1663604;218074;75534;34711;20563;30005;12390;4479;54;48; NA;2059360;  1*
104; 113.9;1023389;270445;8823;40512;26506;18155;6923;2771;48;29; NA;1397524;  1*
105; 115.0;907675;229330;94569;117317;17098;16094;6964;3151;40;37; NA;1392198;  1*
106; 115.9;538125;42526;43332;10929;6785;4037;1120;912;38;57; NA;647766;  1*
107; 116.9;286512;125484;19326;7298;5139;5712;2302;1558;29;48; NA;453331;  1*
108; 117.9;402808;142326;93742;41690;62215;12301;5756;2549;27;69; NA;763387;  1*
109; 118.9;1398571;99928;40057;67420;4738;17167;9218;3413;35;74; NA;1640512;  1*
110; 119.9;1026950;414640;23723;38638;23087;19867;7835;4695;35;44; NA;1559435;  1*
111; 121.0;1068732;104477;17186;108643;27604;13472;15576;3807;38;67; NA;1359497;  1*
112; 122.0;102951;55592;14067;11666;13558;6634;5933;1269;43;57; NA;211670;  1*
113; 122.9;1164553;236378;27787;52501;52554;14007;5481;7344;37;38; NA;1560605;  1*
114; 123.9;636345;72831;15492;11898;5624;3115;1940;2189;35;51; NA;749434;  1*
115; 124.9;321416;38852;14726;9763;3543;5249;1384;871;38;41; NA;395804;  1*
116; 126.0;189350;42395;6059;7430;12986;1839;585;646;29;38; NA;261290;  1*
117; 126.9;1072759;273369;41052;10498;32085;21308;2453;2742;35;30; NA;1456266;  1*
118; 128.0;434565;86302;24219;30416;22684;7334;3956;2590;38;35; NA;612066;  1*
119; 129.0;849864;269814;145082;18618;31810;16643;6414;4073;34;35; NA;1342318;  1*
120; 129.9;146766;38478;5708;9244;8886;4989;2083;1153;41;38; NA;217307;  1*
121; 130.9;382306;180361;58181;32664;38620;15399;4744;2626;40;51; NA;714901;  1*
122; 131.9;2194077;348747;27159;51620;14526;32003;6389;2673;43;38; NA;2677194;  1*
123; 133.0;925422;158981;82107;139549;16380;17979;4641;3613;43;51; NA;1348672;  1*
124; 133.9;1279847;156456;70642;8374;28666;10100;10196;2347;37;56; NA;1566628;  1*
125; 134.9;438090;355627;41528;24320;25835;12669;6565;4220;30;44; NA;908854;  1*
126; 135.9;847587;424237;39033;34788;27377;8583;4942;2578;17;41; NA;1389125;  1*
127; 136.9;2351955;144171;105489;25424;13216;14634;5498;2429;17;35; NA;2662816;  1*
128; 137.9;606921;72204;5143;4512;4121;2645;1699;581;16;16; NA;697826;  1*
129; 138.9;1965643;84477;17515;26317;34690;8123;5770;2878;23;26; NA;2145413;  1*
130; 140.0;135754;24291;4900;4703;4139;1311;957;410;29;37; NA;176465;  1*
131; 140.9;1060760;226701;49030;22389;18211;3262;5109;3514;14;21; NA;1388976;  1*
132; 141.9;927232;334048;80290;17066;17711;20209;10409;4692;16;30; NA;1411657;  1*
133; 142.9;2757105;746435;360101;145662;45421;47022;23667;9464;11;41; NA;4134877;  1*
134; 144.0;524230;212652;30198;16484;24714;13094;4318;3034;14;34; NA;828724;  1*
135; 144.9;1277621;364623;78370;18917;6991;18530;4622;2930;27;30; NA;1772604;  1*
136; 145.9;654514;325541;49946;4077;46935;12552;11470;5045;24;23; NA;1110080;  1*
137; 147.0;602825;178107;9217;32862;16902;12440;4183;1594;29;7; NA;858130;  1*
138; 147.9;1289196;233313;106340;21343;40656;5866;3486;1552;17;21; NA;1701752;  1*
139; 148.9;198372;111130;69301;11262;9955;3870;6466;5274;13;35; NA;415630;  1*
140; 149.9;2162155;179277;33661;41614;5933;8741;7650;2538;13;50; NA;2441569;  1*
141; 150.9;2309748;587181;126715;115170;114667;40779;15340;7192;11;56; NA;3316792;  1*
142; 151.9;1785507;612080;203100;87301;21307;39496;6381;13682;21;54; NA;2768854;  1*
143; 152.9;1173252;296660;127945;47577;31235;16151;4785;3619;26;53; NA;1701224;  1*
144; 153.9;525640;940418;11436;166158;77699;89806;18133;11642;35;37; NA;1840932;  1*
145; 154.9;982445;346656;40164;40720;8740;10054;7198;2468;27;29; NA;1438445;  1*
146; 155.9;1656122;54865;42198;7447;13909;2087;1501;1620;21;38; NA;1779749;  1*
147; 156.9;88253;71733;15360;13658;3326;2564;1114;542;20;35; NA;196550;  1*
148; 158.0;890534;170062;14107;3364;11112;6290;2286;2142;11;27; NA;1099897;  1*
149; 158.9;262525;427888;45406;11570;11329;2847;1309;2121;1;20; NA;764995;  1*
150; 160.0;1967628;958433;138147;36036;54581;51261;13798;6071;10;1; NA;3225955;  1*
151; 160.9;804568;36112;3601;9543;1431;3130;1367;1286;17;1; NA;861038;  1*
152; 161.9;137131;30065;9177;8199;2972;3019;1285;576;24;17; NA;192424;  1*
153; 163.0;936466;699333;148757;56144;54714;21362;18196;4767;37;29; NA;1939739;  1*
