obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
75, 80.0, 38021, 27640, 82315, 15269, 24009, 5072, 4842, 2942, 43, 83, NA, 200110,  X*
76, 80.9, 559677, 123386, 24724, 81082, 13610, 10204, 18034, 3697, 30, 70, NA, 834414,  X*
77, 81.9, 65262, 62668, 8472, 62308, 20275, 9761, 6540, 9895, 27, 77, NA, 245181,  X*
78, 83.0, 69998, 18664, 18374, 6046, 4153, 2889, 1546, 1410, 30, 81, NA, 123080,  X*
79, 84.0, 636218, 276914, 44161, 16113, 37014, 22739, 19972, 12244, 41, 56, NA, 1065375,  X*
80, 84.9, 1625643, 145533, 110256, 121498, 38714, 17295, 5593, 3187, 43, 63, NA, 2067719,  X*
81, 86.0, 64865, 59861, 83944, 13654, 8073, 10749, 9224, 3168, 43, 67, NA, 253538,  X*
82, 87.0, 210609, 113372, 36593, 17313, 20829, 31859, 6968, 6858, 60, 54, NA, 444401,  X*
83, 87.9, 363183, 13434, 3310, 1934, 5314, 2889, 825, 397, 74, 60, NA, 391286,  X*
84, 89.0, 121546, 49793, 12117, 25933, 8614, 5550, 2855, 3929, 78, 51, NA, 230337,  X*
85, 89.9, 97499, 12648, 18335, 55951, 16562, 16703, 5213, 2587, 97, 54, NA, 225498,  X*
86, 91.0, 112032, 35453, 9464, 21614, 6219, 4983, 1739, 2431, 80, 64, NA, 193935,  X*
87, 92.0, 3096166, 189956, 132247, 121747, 58948, 27347, 10596, 4057, 64, 80, NA, 3641064,  X*
88, 92.9, 930240, 136307, 51257, 104135, 40719, 34135, 6722, 8252, 77, 81, NA, 1311767,  X*
89, 93.9, 57427, 64420, 24732, 17578, 13566, 3998, 1958, 3324, 48, 67, NA, 187003,  X*
90, 94.9, 2077470, 113851, 64299, 49936, 75277, 15109, 11546, 6074, 48, 64, NA, 2413562,  X*
91, 95.9, 849061, 84432, 29148, 14664, 20631, 10176, 2178, 1670, 50, 54, NA, 1011960,  X*
92, 97.0, 223306, 154325, 91409, 39024, 34084, 15400, 18263, 5860, 37, 51, NA, 581671,  X*
93, 98.1, 56326, 53513, 7425, 14410, 11068, 9161, 5400, 2711, 56, 44, NA, 160014,  X*
94, 98.9, 434662, 12288, 5546, 4890, 8791, 5898, 2155, 5012, 77, 41, NA, 479242,  X*
95, 100.0, 115069, 8156, 4698, 1015, 2738, 2745, 1148, 1859, 93, 43, NA, 137428,  X*
96, 101.0, 407778, 75305, 46806, 25194, 22113, 36426, 53867, 21626, 100, 40, NA, 689115,  X*
97, 101.9, 1570532, 164015, 73851, 115288, 28879, 45271, 19536, 29680, 100, 53, NA, 2047052,  X*
98, 103.0, 157054, 64590, 25354, 29793, 9082, 18328, 20493, 10031, 100, 57, NA, 334725,  X*
99, 104.0, 511268, 102010, 39134, 37897, 16072, 12594, 20274, 15945, 96, 61, NA, 755194,  X*
100, 104.9, 12327, 41955, 10905, 27288, 11582, 11810, 5443, 4694, 88, 63, NA, 126004,  X*
101, 106.0, 205776, 44361, 62702, 82045, 27754, 20265, 8847, 3364, 84, 70, NA, 455114,  X*
102, 107.1, 92436, 30732, 5863, 21808, 6770, 3499, 5000, 4029, 67, 74, NA, 170137,  X*
103, 108.0, 1752781, 61766, 29715, 6368, 18100, 26103, 14841, 8386, 87, 66, NA, 1918060,  X*
104, 109.0, 493660, 201836, 13352, 84180, 77748, 52298, 50642, 33449, 87, 56, NA, 1007165,  X*
105, 109.9, 730379, 554209, 34306, 48848, 54738, 14747, 16529, 18662, 61, 29, NA, 1472418,  X*
106, 110.9, 473273, 35041, 10850, 7897, 2415, 6484, 1787, 4720, 70, 24, NA, 542467,  X*
107, 111.9, 73383, 17634, 4296, 2895, 3601, 5048, 5336, 2989, 64, 23, NA, 115182,  X*
108, 112.9, 1650997, 136216, 76951, 73608, 7630, 12300, 24674, 13443, 44, 38, NA, 1995819,  X*
109, 113.9, 1212147, 92931, 13511, 11730, 3399, 9291, 18400, 9569, 63, 47, NA, 1370978,  X*
110, 115.0, 379253, 95954, 29447, 1567, 12015, 4289, 7337, 6089, 44, 41, NA, 535951,  X*
111, 116.0, 622337, 47972, 15625, 7759, 12590, 4178, 6803, 3703, 26, 43, NA, 720967,  X*
112, 116.9, 158229, 102870, 64638, 18492, 12411, 18352, 14222, 8525, 40, 37, NA, 397739,  X*
113, 118.0, 979035, 235575, 66615, 26988, 40854, 13006, 22536, 24803, 26, 40, NA, 1409412,  X*
114, 118.9, 493939, 31545, 20069, 9685, 12113, 7548, 6925, 3539, 48, 48, NA, 585363,  X*
115, 119.9, 235237, 510707, 22592, 33423, 12338, 40048, 29777, 34766, 48, 34, NA, 918888,  X*
116, 121.1, 86655, 6387, 2858, 3170, 1226, 1623, 1269, 1173, 53, 34, NA, 104361,  X*
117, 121.9, 171907, 142640, 13508, 11033, 29987, 11593, 24833, 9377, 63, 21, NA, 414878,  X*
118, 123.0, 331752, 11603, 6847, 7850, 7772, 3650, 3372, 1925, 64, 23, NA, 374771,  X*
119, 123.9, 885062, 34818, 1423, 6714, 5585, 15977, 2606, 4309, 88, 27, NA, 956494,  X*
120, 124.9, 485414, 20253, 16032, 38725, 17784, 26588, 17985, 12661, 97, 30, NA, 635442,  X*
121, 125.9, 39315, 15650, 3729, 1268, 1052, 2080, 1926, 2599, 100, 40, NA, 67619,  X*
122, 127.0, 814962, 110183, 20081, 11872, 4124, 9727, 10100, 10232, 87, 27, NA, 991281,  X*
123, 127.9, 517464, 319054, 30994, 84757, 31847, 73094, 34254, 11267, 75, 37, NA, 1102731,  X*
