obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
78, 91.9, 1117780, 139087, 20114, 26321, 21728, 11575, 8144, 6833, 23, 53, NA, 1351582,  X*
79, 93.0, 510686, 180293, 17334, 24188, 27589, 13383, 9202, 4760, 20, 50, NA, 787435,  X*
80, 94.0, 129764, 25984, 6922, 2470, 2472, 3193, 2852, 1326, 20, 48, NA, 174983,  X*
81, 94.9, 337012, 19016, 8468, 3279, 34110, 27644, 29766, 9714, 37, 29, NA, 469009,  X*
82, 95.9, 921921, 450767, 40761, 19535, 6951, 15683, 9090, 11819, 29, 21, NA, 1476527,  X*
83, 97.0, 431220, 25451, 2767, 3691, 3581, 3691, 2419, 2001, 37, 21, NA, 474821,  X*
84, 97.9, 12556, 15799, 10933, 14862, 7038, 4219, 9764, 17184, 38, 35, NA, 92355,  X*
85, 98.9, 4561, 9611, 11121, 5208, 21007, 28652, 17427, 7580, 40, 41, NA, 105167,  X*
86, 99.9, 77361, 5981, 3839, 10394, 22375, 5330, 8799, 5043, 60, 54, NA, 139122,  X*
87, 100.9, 12481, 7232, 1463, 9427, 9707, 6123, 19075, 3982, 69, 64, NA, 69490,  X*
88, 102.0, 25894, 29433, 11231, 10707, 5304, 10290, 4397, 2523, 77, 56, NA, 99779,  X*
89, 102.9, 25189, 22948, 5170, 8030, 10095, 6014, 13374, 10844, 57, 60, NA, 101664,  X*
90, 104.0, 7048, 4810, 7585, 5628, 3684, 6602, 11244, 9240, 61, 67, NA, 55841,  X*
91, 104.9, 19296, 26974, 4612, 6033, 10008, 24220, 7982, 10973, 66, 57, NA, 110098,  X*
92, 105.9, 9343, 9562, 2024, 27132, 5739, 21118, 6031, 5373, 77, 63, NA, 86322,  X*
93, 107.0, 11342, 34280, 9175, 8553, 4325, 16088, 15113, 7249, 81, 63, NA, 106125,  X*
94, 107.9, 38295, 5806, 10568, 5693, 7572, 17825, 5456, 13539, 90, 57, NA, 104754,  X*
95, 108.9, 23739, 3253, 15127, 12053, 2695, 11777, 12816, 4044, 87, 81, NA, 85504,  X*
96, 109.9, 895571, 53390, 15344, 21091, 14652, 13979, 21710, 11849, 75, 75, NA, 1047586,  X*
97, 111.0, 83912, 25415, 20051, 15015, 14122, 16698, 11224, 10575, 75, 81, NA, 197012,  X*
98, 111.9, 24492, 10947, 9666, 10151, 11333, 14207, 8016, 6135, 67, 83, NA, 94947,  X*
99, 112.9, 60497, 18374, 21305, 4854, 11699, 14565, 14139, 9114, 66, 74, NA, 154547,  X*
100, 113.9, 21212, 31359, 2646, 9838, 37620, 15352, 16639, 18225, 75, 60, NA, 152891,  X*
101, 115.0, 71337, 47541, 32276, 12524, 13036, 25840, 16342, 7350, 74, 56, NA, 226246,  X*
102, 115.9, 10665, 10033, 2442, 6788, 5943, 7857, 8200, 6509, 74, 54, NA, 58437,  X*
103, 117.0, 426115, 18392, 2695, 21287, 5391, 6512, 9151, 2526, 64, 56, NA, 492069,  X*
104, 118.0, 173598, 15624, 4318, 18405, 6805, 5759, 4364, 1309, 57, 77, NA, 230182,  X*
105, 118.9, 17696, 6329, 20468, 3080, 8042, 9171, 3339, 2781, 57, 84, NA, 70906,  X*
106, 119.9, 17782, 10837, 3707, 2664, 7460, 4243, 3211, 1580, 53, 80, NA, 51484,  X*
107, 120.9, 56418, 7339, 11413, 8023, 8402, 8144, 1705, 4109, 60, 81, NA, 105553,  X*
108, 122.0, 17056, 12998, 7406, 774, 4359, 4820, 1837, 1696, 63, 70, NA, 50946,  X*
109, 122.9, 9696, 20309, 1713, 11601, 8709, 12091, 6061, 4221, 64, 60, NA, 74401,  X*
110, 123.9, 8783, 14795, 10814, 7478, 9863, 9952, 5278, 6582, 64, 66, NA, 73545,  X*
111, 124.9, 12968, 18443, 9602, 14780, 10416, 5921, 3660, 5677, 57, 63, NA, 81467,  X*
112, 125.9, 16805, 14719, 10548, 29593, 6215, 14781, 4532, 1745, 60, 75, NA, 98938,  X*
113, 126.9, 83155, 12091, 6414, 8520, 12836, 5738, 5765, 8117, 56, 80, NA, 142636,  X*
114, 127.9, 79326, 16711, 10729, 15976, 17032, 7768, 17839, 10668, 53, 83, NA, 176049,  X*
115, 128.9, 13259, 4461, 5117, 3868, 13259, 5306, 7080, 16562, 63, 77, NA, 68912,  X*
116, 129.9, 10755, 10449, 1771, 9888, 6265, 17471, 11654, 6683, 75, 63, NA, 74936,  X*
117, 131.0, 52673, 41564, 6574, 3962, 9878, 6294, 10297, 4704, 69, 51, NA, 135946,  X*
118, 131.9, 8340, 11610, 9716, 23089, 15409, 7243, 6046, 4021, 67, 56, NA, 85474,  X*
119, 133.0, 20444, 11467, 3565, 17729, 3342, 7877, 5800, 5651, 64, 66, NA, 75875,  X*
120, 134.0, 2032457, 50171, 25993, 8336, 9124, 11536, 6545, 3645, 47, 70, NA, 2147807,  X*
121, 135.0, 707696, 29130, 15990, 14110, 6245, 8932, 12454, 8047, 48, 87, NA, 802604,  X*
122, 135.9, 2323228, 67265, 58867, 27517, 14152, 25301, 17464, 3857, 48, 83, NA, 2537651,  X*
123, 136.9, 1595925, 192766, 39825, 17281, 27193, 23458, 10318, 10325, 38, 67, NA, 1917091,  X*
124, 137.9, 3867124, 491592, 21458, 28325, 56803, 27145, 18545, 14545, 27, 48, NA, 4525537,  X*
125, 138.9, 205258, 69431, 23178, 34590, 11563, 5414, 13405, 7344, 14, 48, NA, 370183,  X*
126, 140.0, 224520, 330441, 71384, 17332, 24735, 48727, 28799, 20142, 11, 34, NA, 766080,  X*
127, 140.9, 637487, 15525, 18867, 16598, 6889, 9643, 9859, 6922, 20, 51, NA, 721790,  X*
128, 142.0, 1790898, 308373, 36442, 23081, 39540, 36649, 11724, 23301, 26, 57, NA, 2270008,  X*
129, 142.9, 200247, 103283, 11278, 5557, 20526, 8795, 18274, 12303, 30, 38, NA, 380263,  X*
130, 143.9, 992071, 81989, 9951, 8814, 31461, 16971, 20760, 25894, 37, 35, NA, 1187911,  X*
131, 144.9, 1912496, 435488, 127093, 76316, 118874, 33944, 108643, 25636, 24, 21, NA, 2838490,  X*
132, 146.0, 2136215, 278435, 47228, 245624, 91223, 59513, 73434, 46929, 24, 38, NA, 2978601,  X*
133, 147.0, 1701253, 2033417, 378877, 206350, 242379, 120936, 284559, 296283, 21, 44, NA, 5264054,  X*
134, 147.9, 868241, 274679, 260845, 102061, 28649, 28485, 70929, 37095, 8, 67, NA, 1670984,  X*
135, 148.9, 109019, 33750, 5830, 9840, 5671, 7650, 9681, 5850, 16, 67, NA, 187291,  X*
136, 150.0, 1066555, 339176, 63260, 28378, 17488, 19201, 14553, 11748, 8, 56, NA, 1560359,  X*
137, 150.9, 16964, 6857, 4055, 3852, 747, 1854, 1438, 1305, 17, 70, NA, 37072,  X*
138, 151.9, 124817, 18809, 6676, 2985, 1450, 5541, 2170, 2448, 30, 60, NA, 164896,  X*
139, 153.0, 161476, 198020, 32370, 5079, 13825, 20353, 19200, 4490, 26, 50, NA, 454813,  X*
140, 154.0, 1296333, 144769, 9364, 8038, 20060, 70045, 38349, 11464, 48, 37, NA, 1598422,  X*
141, 154.9, 57502, 6130, 1452, 16701, 8495, 22955, 17492, 15566, 67, 29, NA, 146293,  X*
142, 155.9, 142102, 21715, 19669, 18048, 20256, 49875, 16552, 23943, 83, 29, NA, 312160,  X*
143, 157.0, 23892, 10149, 7363, 5106, 15118, 22435, 12380, 20074, 100, 37, NA, 116517,  X*
144, 158.0, 646466, 42302, 7564, 5861, 23778, 35290, 18708, 10217, 100, 43, NA, 790186,  X*
145, 158.9, 85770, 17004, 11192, 5149, 30877, 16403, 36137, 9169, 100, 37, NA, 211701,  X*
146, 159.9, 11367, 21537, 5272, 26690, 17253, 28327, 19848, 20442, 97, 38, NA, 150736,  X*
147, 160.9, 6259, 9315, 9910, 13077, 14963, 41049, 35663, 10116, 100, 40, NA, 140352,  X*
148, 161.9, 241334, 9449, 3937, 2977, 10492, 28165, 24942, 8779, 100, 41, NA, 330075,  X*
149, 162.9, 29022, 15974, 5754, 9952, 14280, 41432, 24960, 20565, 100, 40, NA, 161939,  X*
150, 164.0, 257947, 104243, 15943, 7695, 14305, 20762, 19419, 11829, 100, 27, NA, 452143,  X*
151, 165.0, 31803, 19848, 11009, 16889, 15954, 18520, 13327, 21264, 96, 30, NA, 148614,  X*
152, 166.0, 3465, 14946, 3103, 26681, 9480, 27343, 23259, 25211, 88, 48, NA, 133488,  X*
153, 166.9, 59517, 8366, 5344, 12855, 20277, 21566, 10023, 7927, 84, 53, NA, 145875,  X*
154, 168.0, 28151, 15713, 13650, 14352, 14726, 11218, 10147, 23226, 88, 69, NA, 131183,  X*
155, 168.9, 47033, 15143, 8453, 11618, 24829, 22608, 16426, 9908, 93, 63, NA, 156018,  X*
156, 169.9, 26413, 25201, 4622, 42317, 27474, 31881, 11546, 6547, 90, 63, NA, 176001,  X*
157, 170.9, 414373, 8993, 1111, 6799, 6319, 5462, 6766, 4714, 80, 63, NA, 454537,  X*
158, 172.0, 24088, 15710, 519, 4233, 13768, 18987, 7122, 12354, 93, 43, NA, 96781,  X*
159, 172.9, 11759, 3846, 6103, 9546, 7464, 29324, 13679, 20029, 100, 47, NA, 101750,  X*
160, 173.9, 19985, 12530, 3403, 12576, 15840, 19229, 18763, 18914, 100, 41, NA, 121240,  X*
161, 174.9, 449533, 113388, 12516, 12397, 22138, 51646, 33706, 11230, 100, 29, NA, 706554,  X*
162, 176.0, 13671, 27743, 12030, 11357, 14426, 11178, 14432, 8993, 91, 47, NA, 113830,  X*
163, 176.9, 102570, 32385, 652, 889, 12282, 14529, 4915, 2035, 80, 21, NA, 170257,  X*
164, 177.9, 149017, 18172, 2459, 3708, 7092, 6260, 2530, 2085, 69, 20, NA, 191323,  X*
165, 178.9, 15663, 4936, 23672, 23145, 3885, 28154, 26885, 17591, 74, 44, NA, 143931,  X*
166, 179.9, 9591, 13400, 12238, 28284, 4724, 19171, 9250, 7451, 77, 56, NA, 104109,  X*
