obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
76, 78.0, 27784, 18499, 17159, 12966, 24992, 10898, 13809, 7113, 34, 30, NA, 133220,  X*
77, 79.0, 43806, 68701, 6314, 18075, 17777, 11336, 17439, 4465, 50, 34, NA, 187913,  X*
78, 80.0, 105847, 21066, 11156, 3261, 1971, 2852, 1613, 1913, 61, 47, NA, 149679,  X*
79, 81.0, 36495, 23507, 41220, 15809, 22324, 10067, 6040, 12573, 63, 57, NA, 168035,  X*
80, 82.0, 192415, 108779, 27548, 27007, 20634, 13290, 6848, 5908, 50, 54, NA, 402429,  X*
81, 83.0, 50797, 48830, 17904, 27380, 20203, 19104, 8956, 3236, 56, 61, NA, 196410,  X*
82, 84.0, 986181, 45039, 48708, 4172, 20335, 14128, 4070, 12258, 64, 63, NA, 1134891,  X*
83, 85.0, 244040, 76587, 10179, 6042, 2002, 2731, 2122, 3271, 47, 48, NA, 346974,  X*
84, 86.0, 123518, 76357, 142823, 75139, 24504, 19771, 28865, 3514, 44, 63, NA, 494491,  X*
85, 87.0, 153716, 96790, 16736, 64756, 12031, 12528, 8033, 9565, 30, 64, NA, 374155,  X*
86, 88.0, 17254, 97453, 17779, 13009, 17865, 20198, 6580, 4996, 30, 54, NA, 195134,  X*
87, 89.0, 164270, 16855, 20792, 3057, 3444, 2500, 3408, 1790, 41, 69, NA, 216116,  X*
88, 90.0, 161197, 33232, 1427, 9277, 3798, 3867, 2350, 8227, 44, 51, NA, 223375,  X*
89, 91.0, 596373, 229031, 59748, 24860, 21017, 17970, 17727, 8772, 41, 43, NA, 975498,  X*
90, 92.1, 188767, 79630, 27092, 10643, 24061, 19412, 10423, 9212, 43, 44, NA, 369240,  X*
91, 93.1, 136180, 6679, 1762, 7773, 1646, 6966, 2115, 1957, 66, 41, NA, 165078,  X*
92, 94.0, 71915, 58308, 37297, 54022, 6455, 20965, 8827, 5104, 70, 54, NA, 262893,  X*
93, 95.0, 366289, 83354, 96138, 10613, 23423, 4553, 4980, 3080, 60, 66, NA, 592430,  X*
94, 96.0, 94775, 39010, 36968, 30375, 8599, 7027, 3954, 2774, 50, 81, NA, 223482,  X*
95, 97.0, 85602, 67341, 23536, 40381, 15718, 32219, 11966, 4202, 41, 80, NA, 280965,  X*
96, 98.0, 111805, 15198, 6814, 21643, 3265, 1996, 2427, 687, 27, 83, NA, 163835,  X*
97, 99.1, 32853, 60016, 3538, 79398, 9738, 15534, 5242, 3516, 48, 83, NA, 209835,  X*
98, 100.0, 80339, 38913, 36230, 79346, 4784, 8863, 7531, 8310, 47, 90, NA, 264316,  X*
99, 101.0, 34687, 27428, 55553, 22475, 21327, 6507, 11092, 5886, 29, 97, NA, 184955,  X*
100, 102.0, 44745, 37995, 22811, 6678, 15612, 11614, 8470, 7014, 44, 88, NA, 154939,  X*
101, 103.0, 47605, 30856, 28329, 27862, 19485, 7853, 5795, 8710, 43, 87, NA, 176495,  X*
102, 104.0, 118236, 26317, 11369, 21389, 15057, 5006, 3870, 4454, 47, 75, NA, 205698,  X*
103, 105.0, 149483, 36706, 6814, 11261, 15067, 11140, 11370, 6391, 61, 57, NA, 248232,  X*
104, 106.0, 151407, 26571, 4139, 6393, 2964, 4630, 947, 2012, 57, 53, NA, 199063,  X*
105, 107.0, 200049, 171518, 15892, 14552, 36349, 28815, 9865, 3081, 63, 34, NA, 480121,  X*
106, 108.0, 89222, 23035, 89744, 9984, 12060, 9226, 2573, 1214, 63, 44, NA, 237058,  X*
107, 109.0, 338174, 12553, 34602, 7802, 12634, 9590, 6161, 5122, 63, 60, NA, 426638,  X*
108, 110.0, 149699, 19244, 2580, 16800, 5659, 11464, 1508, 873, 74, 66, NA, 207827,  X*
109, 111.0, 44441, 73722, 5828, 17445, 12636, 12996, 12667, 4991, 74, 74, NA, 184726,  X*
110, 112.0, 76237, 73226, 18464, 53707, 34555, 7843, 5902, 5519, 67, 60, NA, 275453,  X*
111, 113.0, 81493, 36674, 3260, 8237, 6207, 4165, 5676, 1027, 61, 43, NA, 146739,  X*
