obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
88, 98.0, 332098, 38857, 17164, 1626, 2688, 5538, 2035, 1189, 91, 66, NA, 401195,  1*
89, 99.0, 377016, 37748, 9700, 17456, 4566, 1704, 6367, 1609, 91, 66, NA, 456166,  1*
90, 100.0, 298728, 10218, 10896, 11165, 1714, 3991, 1275, 805, 100, 70, NA, 338792,  1*
91, 101.0, 140627, 11411, 13461, 5865, 10873, 4593, 2312, 1144, 100, 74, NA, 190286,  1*
92, 102.0, 42143, 12310, 4200, 1030, 7197, 3501, 2524, 3571, 100, 66, NA, 76476,  1*
93, 103.0, 130598, 13557, 28367, 10544, 4352, 4035, 2735, 2894, 100, 78, NA, 197082,  1*
94, 104.0, 22976, 19209, 5081, 1307, 4312, 3480, 1314, 1494, 100, 57, NA, 59173,  1*
95, 105.0, 67000, 25499, 13531, 6072, 5392, 5585, 2266, 3886, 100, 54, NA, 129231,  1*
96, 106.0, 150724, 9758, 1569, 5141, 5131, 2982, 2512, 3251, 100, 61, NA, 181068,  1*
97, 107.0, 742325, 41560, 41207, 24028, 12204, 4089, 6685, 2463, 100, 54, NA, 874561,  1*
98, 108.0, 1382261, 125003, 30200, 29812, 14799, 6920, 6157, 2220, 97, 61, NA, 1597372,  1*
99, 109.0, 886334, 18169, 6719, 14730, 9580, 1286, 1285, 763, 87, 64, NA, 938866,  1*
100, 110.0, 2016064, 169873, 28441, 60857, 90634, 13481, 4942, 3764, 77, 63, NA, 2388056,  1*
101, 111.0, 1886435, 14301, 40215, 73388, 11003, 7373, 5000, 2934, 81, 70, NA, 2040649,  1*
102, 112.0, 444896, 82394, 89763, 68334, 30535, 7907, 3575, 3890, 80, 83, NA, 731294,  1*
103, 113.0, 962325, 70050, 18936, 13022, 9809, 5840, 2924, 2404, 84, 74, NA, 1085310,  1*
104, 114.0, 511390, 104458, 48102, 15753, 10597, 4789, 5284, 2876, 80, 78, NA, 703249,  1*
105, 115.0, 815376, 15797, 32740, 3290, 10494, 6907, 1882, 5076, 87, 64, NA, 891562,  1*
