obs; time; Delta; Theta; Alpha1; Alpha2; Beta1; Beta2; Gamma1; Gamma2; Attention; Meditation; Derived; totPwr; class 
129; 134.9;24734;23256;2310;9676;9502;9178;7044;2772;88;75; NA;88472;  1*
130; 135.9;32697;26482;14759;9374;8920;4274;5098;5094;81;77; NA;106698;  1*
131; 136.9;30740;31713;4984;12099;14081;5378;2707;5810;90;64; NA;107512;  1*
132; 138.0;74039;29544;14418;3096;4832;1260;856;751;77;64; NA;128796;  1*
133; 138.9;1061806;209570;16742;20403;13175;5966;3903;1958;54;61; NA;1333523;  1*
134; 139.9;17060;52005;27197;5442;5786;2698;3589;2295;47;60; NA;116072;  1*
135; 140.9;313730;139724;22166;18823;9033;3509;4695;2204;29;57; NA;513884;  1*
136; 141.9;50604;54497;14511;8721;11776;4859;2761;1610;38;53; NA;149339;  1*
137; 142.9;75757;19674;24830;2793;4715;1986;567;1275;43;70; NA;131597;  1*
138; 143.9;37443;6154;6219;6647;6987;6029;4776;1830;63;74; NA;76085;  1*
139; 145.0;174184;674392;193638;21241;53843;9502;5113;3007;57;74; NA;1134920;  1*
140; 146.0;54298;21559;1262;2400;2979;1859;920;786;60;66; NA;86063;  1*
141; 146.9;45211;48262;2396;4906;3583;6610;1900;2866;67;44; NA;115734;  1*
142; 147.9;133746;24309;3726;3029;2745;1865;797;902;54;35; NA;171119;  1*
143; 149.0;57527;14198;5277;2136;784;755;384;97;64;40; NA;81158;  1*
144; 149.9;18006;28497;16079;3437;2999;2791;4815;3623;61;51; NA;80247;  1*
145; 150.9;32291;35011;11424;10921;28710;6481;3309;5331;61;60; NA;133478;  1*
146; 151.9;233973;16495;2197;1116;958;854;397;288;57;57; NA;256278;  1*
147; 153.0;61314;8927;999;2855;5141;1474;1193;398;69;51; NA;82301;  1*
148; 153.9;9724;27489;1628;6343;2417;2256;4453;1125;69;44; NA;55435;  1*
149; 154.9;310975;76850;27441;9636;13225;9450;1259;688;67;47; NA;449524;  1*
