obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
143, 145.0, 931931, 551769, 53390, 157717, 123511, 56508, 15542, 2220, 69, 54, NA, 1892588,  X*
144, 146.0, 650536, 164809, 175477, 183811, 96272, 19874, 21571, 5110, 61, 74, NA, 1317460,  X*
145, 147.0, 397125, 894513, 88577, 21190, 83034, 18031, 18497, 10729, 50, 56, NA, 1531696,  X*
146, 148.0, 729354, 459724, 135125, 42420, 35877, 61317, 18019, 6928, 53, 56, NA, 1488764,  X*
147, 149.0, 421621, 155023, 43586, 32953, 84161, 26101, 25169, 5905, 57, 56, NA, 794519,  X*
148, 150.0, 2763904, 186018, 166022, 73629, 58800, 40328, 12943, 4675, 67, 51, NA, 3306319,  X*
149, 151.0, 578753, 278289, 18676, 55539, 112425, 35075, 21355, 3101, 88, 60, NA, 1103213,  X*
150, 152.0, 162428, 165370, 14505, 12255, 20581, 6603, 5548, 1765, 77, 51, NA, 389055,  X*
151, 153.0, 185421, 62639, 27390, 14707, 17536, 15632, 7162, 2839, 81, 56, NA, 333326,  X*
152, 154.0, 420048, 127913, 18022, 3077, 17065, 6527, 5216, 4081, 74, 35, NA, 601949,  X*
153, 155.0, 301484, 169994, 45412, 27830, 6903, 11554, 3451, 1873, 63, 43, NA, 568501,  X*
154, 156.0, 657500, 203097, 22575, 100566, 36981, 30835, 28214, 5042, 77, 57, NA, 1084810,  X*
155, 157.0, 2581638, 93193, 37341, 257474, 116048, 38493, 34568, 6864, 70, 67, NA, 3165619,  X*
156, 158.0, 837256, 106383, 56603, 206879, 35122, 36297, 22518, 11286, 81, 96, NA, 1312344,  X*
157, 159.0, 2448565, 314765, 60119, 85122, 36659, 47172, 20651, 8703, 88, 96, NA, 3021756,  X*
158, 160.0, 448909, 269838, 109248, 152119, 22794, 10181, 20599, 4306, 67, 100, NA, 1037994,  X*
159, 161.0, 152300, 185049, 70387, 31132, 43197, 16380, 24982, 15987, 61, 91, NA, 539414,  X*
160, 162.0, 1053725, 509706, 64487, 98271, 45997, 35249, 8248, 10308, 54, 69, NA, 1825991,  X*
161, 163.0, 221442, 147153, 25981, 15955, 30478, 6858, 2790, 935, 44, 64, NA, 451592,  X*
162, 164.0, 892791, 405481, 66261, 32233, 81842, 43453, 10628, 6276, 61, 44, NA, 1538965,  X*
