obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
84, 92.0, 206883, 175657, 68105, 42155, 47412, 38808, 16783, 9970, 96, 60, NA, 605773,  X*
85, 93.0, 977319, 461091, 111915, 75273, 53549, 25668, 3891, 12902, 83, 41, NA, 1721608,  X*
86, 94.0, 1529159, 134154, 59776, 17093, 23726, 6448, 6598, 2429, 74, 54, NA, 1779383,  X*
87, 95.0, 1274988, 98045, 10646, 15567, 20331, 9109, 10525, 4143, 61, 50, NA, 1443354,  X*
88, 96.0, 1004992, 206910, 37463, 5667, 12929, 17330, 8538, 7526, 53, 40, NA, 1301355,  X*
89, 97.0, 351435, 99152, 33105, 8518, 8414, 9068, 2575, 912, 57, 41, NA, 513179,  X*
90, 98.0, 2364120, 507582, 70368, 27817, 58791, 156625, 13375, 13945, 81, 26, NA, 3212623,  X*
91, 99.0, 550632, 34136, 7152, 7635, 5509, 2852, 1505, 1921, 81, 34, NA, 611342,  X*
92, 100.0, 90773, 38180, 79732, 6563, 39691, 10648, 4866, 2403, 83, 53, NA, 272856,  X*
93, 101.0, 36853, 50124, 34370, 3867, 36249, 10652, 4120, 2356, 91, 54, NA, 178591,  X*
94, 102.0, 68641, 59982, 72093, 33156, 32148, 15571, 7687, 3829, 80, 77, NA, 293107,  X*
95, 103.0, 2031195, 71609, 3564, 11018, 4388, 3263, 1382, 502, 75, 69, NA, 2126921,  X*
96, 104.0, 696996, 49582, 4255, 20491, 9416, 3934, 5638, 8131, 69, 57, NA, 798443,  X*
97, 105.3, 605306, 116578, 12720, 15087, 10866, 15507, 2435, 3610, 67, 50, NA, 782109,  X*
98, 106.0, 1016082, 90507, 142227, 37177, 48432, 41715, 6290, 9588, 74, 50, NA, 1392018,  X*
99, 107.0, 698277, 878430, 267121, 30188, 55455, 109084, 53190, 7249, 84, 54, NA, 2098994,  X*
100, 108.0, 1015402, 10707, 3345, 4249, 6522, 1308, 2130, 449, 88, 54, NA, 1044112,  X*
101, 109.0, 758116, 31023, 77432, 26756, 22854, 9200, 8142, 2034, 81, 78, NA, 935557,  X*
102, 110.0, 31852, 35937, 3546, 12552, 74103, 15763, 5545, 3250, 88, 56, NA, 182548,  X*
103, 111.0, 14971, 232825, 45297, 4345, 18668, 23457, 3286, 2229, 84, 50, NA, 345078,  X*
104, 112.0, 18431, 145092, 41869, 10514, 10836, 7181, 5443, 1627, 77, 48, NA, 240993,  X*
105, 113.0, 154490, 37066, 8884, 23860, 41291, 7495, 4414, 1098, 81, 34, NA, 278598,  X*
106, 114.0, 52036, 23358, 3272, 18101, 15800, 11149, 3579, 3437, 78, 47, NA, 130732,  X*
107, 115.0, 604884, 157790, 5294, 9736, 34409, 39598, 13493, 4312, 90, 35, NA, 869516,  X*
108, 116.0, 947333, 44061, 13387, 23306, 21963, 5058, 1953, 1795, 94, 40, NA, 1058856,  X*
109, 117.0, 869211, 67860, 4441, 2526, 5651, 2212, 1573, 657, 80, 23, NA, 954131,  X*
110, 118.0, 591507, 30612, 3785, 10848, 4601, 3235, 2318, 702, 66, 23, NA, 647608,  X*
111, 119.0, 77467, 12062, 6688, 599, 5114, 5164, 3519, 1754, 67, 41, NA, 112367,  X*
112, 120.0, 114604, 22024, 148660, 15081, 20428, 21494, 6134, 2757, 75, 57, NA, 351182,  X*
113, 121.0, 28089, 22864, 20087, 23238, 34733, 10985, 6669, 1600, 93, 78, NA, 148265,  X*
114, 122.0, 19012, 18354, 40264, 37017, 7283, 7370, 3448, 743, 94, 97, NA, 133491,  X*
115, 123.0, 32651, 38287, 45873, 13687, 37590, 10905, 4573, 3652, 84, 100, NA, 187218,  X*
116, 124.0, 27637, 22640, 22174, 14637, 6721, 6823, 5068, 2081, 84, 96, NA, 107781,  X*
